National Occupational Classification,Job vacancy characteristics,Statistics,VALUE
Software engineers and designers,Bachelor's degree,Average offered hourly wage,42.25
Software engineers and designers,Bachelor's degree,Average offered hourly wage,35.75
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.95
Software engineers and designers,Bachelor's degree,Average offered hourly wage,53.15
Software engineers and designers,Bachelor's degree,Average offered hourly wage,38.65
Software engineers and designers,Bachelor's degree,Average offered hourly wage,36.05
Software engineers and designers,Bachelor's degree,Average offered hourly wage,39.3
Software engineers and designers,Bachelor's degree,Average offered hourly wage,32.8
Software engineers and designers,Bachelor's degree,Average offered hourly wage,34.75
Software engineers and designers,Bachelor's degree,Average offered hourly wage,39.6
Software engineers and designers,Bachelor's degree,Average offered hourly wage,44.4
Software engineers and designers,Bachelor's degree,Average offered hourly wage,36.65
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.6
Software engineers and designers,Bachelor's degree,Average offered hourly wage,33.5
Software engineers and designers,Bachelor's degree,Average offered hourly wage,36.25
Software engineers and designers,Bachelor's degree,Average offered hourly wage,42.55
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.45
Software engineers and designers,Bachelor's degree,Average offered hourly wage,37.4
Software engineers and designers,Bachelor's degree,Average offered hourly wage,39.4
Software engineers and designers,Bachelor's degree,Average offered hourly wage,38.25
Software engineers and designers,Bachelor's degree,Average offered hourly wage,39.25
Software engineers and designers,Bachelor's degree,Average offered hourly wage,32.55
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.55
Software engineers and designers,Bachelor's degree,Average offered hourly wage,36.6
Software engineers and designers,Bachelor's degree,Average offered hourly wage,37.35
Software engineers and designers,Bachelor's degree,Average offered hourly wage,37.4
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.85
Software engineers and designers,Bachelor's degree,Average offered hourly wage,33.8
Software engineers and designers,Bachelor's degree,Average offered hourly wage,39.05
Software engineers and designers,Bachelor's degree,Average offered hourly wage,47.6
Software engineers and designers,Bachelor's degree,Average offered hourly wage,36.15
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.0
Software engineers and designers,Bachelor's degree,Average offered hourly wage,35.7
Software engineers and designers,Bachelor's degree,Average offered hourly wage,39.25
Software engineers and designers,Bachelor's degree,Average offered hourly wage,30.1
Software engineers and designers,Bachelor's degree,Average offered hourly wage,44.05
Software engineers and designers,Bachelor's degree,Average offered hourly wage,44.35
Software engineers and designers,Bachelor's degree,Average offered hourly wage,38.7
Software engineers and designers,Bachelor's degree,Average offered hourly wage,37.65
Software engineers and designers,Bachelor's degree,Average offered hourly wage,42.35
Software engineers and designers,Bachelor's degree,Average offered hourly wage,46.7
Software engineers and designers,Bachelor's degree,Average offered hourly wage,49.7
Software engineers and designers,Bachelor's degree,Average offered hourly wage,52.45
Software engineers and designers,Bachelor's degree,Average offered hourly wage,40.8
Software engineers and designers,Bachelor's degree,Average offered hourly wage,30.3
Software engineers and designers,Bachelor's degree,Average offered hourly wage,47.35
Software engineers and designers,Bachelor's degree,Average offered hourly wage,23.2
